Zip,Latitude,Longitude
98087,47.867459999999994,-122.26325
98077,47.75237,-122.05856000000001
98391,47.17238,-122.17421999999999
99354,46.36855,-119.3334
98359,47.43025,-122.57158999999999
99217,47.707542,-117.33776
98589,46.857968,-122.8326
98052,47.677471000000004,-122.12138
98021,47.790653000000006,-122.22021000000001
98848,47.18227,-119.85868
98140,47.432251,-121.80338799999998
99403,46.400365,-117.08313000000001
98415,47.066193,-122.113223
98933,46.406875,-120.62421
98240,48.931678999999995,-122.63256000000001
98527,46.630051,-123.95463000000001
98042,47.363382,-122.11451000000001
98619,46.018228,-121.28903999999999
98336,46.536190000000005,-122.11766000000001
98346,47.807359000000005,-122.51961999999999
99206,47.646994,-117.25912
98246,48.558127,-121.41703400000002
99211,47.653568,-117.43174199999999
99329,46.138753,-118.15325
98160,47.432251,-121.80338799999998
98280,48.594255,-122.91828000000001
99170,47.240334000000004,-117.37365
99148,48.102047999999996,-117.6013
98507,46.978118,-122.70239299999999
98293,47.870275,-121.76848999999999
98583,47.002178,-123.48359599999999
98661,45.638729999999995,-122.62846
98357,48.35306,-124.64076000000001
98107,47.66747,-122.37468
99130,46.983768,-117.19596999999999
99319,46.68039,-119.91128799999998
98438,47.151297,-122.567631
98424,47.242186,-122.35916
98430,47.066193,-122.113223
98464,47.066193,-122.113223
98226,48.759079,-122.43597
98536,47.179475,-124.14241000000001
99107,48.842690000000005,-118.18276399999999
99341,46.912194,-118.63676000000001
99144,47.608940000000004,-118.399551
98368,48.100255,-122.79736000000001
98609,46.071482,-122.86483799999999
99371,46.782783,-118.2869
98324,48.18315,-123.872972
99401,46.086657,-117.2491
98059,47.493031,-122.14169
98199,47.64767,-122.39758
98349,47.268551,-122.76897
98685,45.709555,-122.68473
99129,48.003202,-118.21338999999999
98614,46.282396999999996,-123.93843999999999
98674,45.928662,-122.70284
98446,47.1309,-122.37588999999998
99013,47.889348,-117.82325
98345,47.702342,-122.62553999999999
99361,46.209202000000005,-118.15883999999998
98236,47.962134000000006,-122.40088999999999
98329,47.378121,-122.7222
99005,47.844289,-117.37274
99202,47.656692,-117.37898999999999
98398,47.066193,-122.113223
98637,46.514625,-123.76903
98951,46.457731,-120.46721000000001
98358,48.058323,-122.68794
98522,46.571323,-123.29838400000001
98287,48.037258,-121.682271
98104,47.60252,-122.32855
99203,47.629090999999995,-117.40636
99204,47.648941,-117.43173999999999
98075,47.584879,-122.033685
98535,47.118565999999994,-124.16027
98351,47.200168,-122.77537
98393,47.626717,-122.649953
99356,45.816528000000005,-120.28372
98132,47.432251,-121.80338799999998
98122,47.61157,-122.30406
98644,46.332077000000005,-124.05516999999999
98576,46.871178,-122.67573
99359,46.523206,-118.19393000000001
98439,47.12562,-122.52293999999999
98030,47.369098,-122.192276
98405,47.248953,-122.46598999999999
98325,47.974585999999995,-122.78381999999999
98388,47.164965,-122.6005
98036,47.808816,-122.28393999999999
98537,46.899189,-123.6907
98937,46.712070000000004,-120.97097
98032,47.388253999999996,-122.25932
98586,46.560786,-123.85213999999999
98006,47.562975,-122.1526
99137,48.174649,-118.11361000000001
99149,47.227436,-117.47363999999999
98109,47.630648,-122.34675
98340,47.910628,-122.57489
