wind_speed,clouds,day,month,condition_main,condition_description,condition_icon,average_feel,expected_percipitation,pop,zip_code
5.73,0,19,7,Clear,clear sky,01d,62.07,0.0,0.0,98140
6.53,8,20,7,Clear,clear sky,01d,57.245,0.0,1.0,98140
6.51,24,21,7,Clouds,few clouds,02d,54.8825,0.0,0.0,98140
6.87,3,22,7,Clear,clear sky,01d,54.269999999999996,0.0,0.0,98140
6.58,0,23,7,Clear,clear sky,01d,58.455,0.0,0.0,98140
6.8,0,24,7,Clear,clear sky,01d,63.635000000000005,0.0,0.0,98140
5.95,0,25,7,Clear,clear sky,01d,60.197500000000005,0.0,0.0,98140
5.61,28,26,7,Clouds,scattered clouds,03d,56.865,0.0,0.0,98140
9.42,60,19,7,Clouds,broken clouds,04d,81.81,0.0,11.0,99403
4.36,100,20,7,Rain,light rain,10d,79.0275,3.0485,91.0,99403
15.95,0,21,7,Rain,light rain,10d,76.265,1.6543999999999999,88.0,99403
6.73,0,22,7,Clear,clear sky,01d,72.8775,0.0,0.0,99403
12.03,0,23,7,Clear,clear sky,01d,75.94,0.0,0.0,99403
4.29,0,24,7,Clear,clear sky,01d,80.59,0.0,0.0,99403
12.97,89,25,7,Clouds,overcast clouds,04d,82.64999999999999,0.0,0.0,99403
11.95,86,26,7,Clouds,overcast clouds,04d,78.235,0.0,0.0,99403
9.17,1,19,7,Clear,clear sky,01d,67.97749999999999,0.0,0.0,98415
7.23,16,20,7,Clouds,few clouds,02d,62.7325,0.0,1.0,98415
9.66,9,21,7,Clear,clear sky,01d,59.192499999999995,0.0,0.0,98415
8.5,10,22,7,Clear,clear sky,01d,60.772499999999994,0.0,0.0,98415
8.34,0,23,7,Clear,clear sky,01d,65.4125,0.0,0.0,98415
8.21,0,24,7,Clear,clear sky,01d,69.8725,0.0,0.0,98415
6.96,1,25,7,Clear,clear sky,01d,65.835,0.0,0.0,98415
5.44,48,26,7,Clouds,scattered clouds,03d,63.1375,0.0,0.0,98415
16.26,1,19,7,Clear,clear sky,01d,82.76249999999999,0.0,0.0,98933
15.14,0,20,7,Clear,clear sky,01d,76.5975,0.0,0.0,98933
14.41,0,21,7,Clear,clear sky,01d,71.885,0.0,0.0,98933
7.81,0,22,7,Clear,clear sky,01d,73.6675,0.0,0.0,98933
7.09,0,23,7,Clear,clear sky,01d,79.52250000000001,0.0,0.0,98933
7.05,0,24,7,Clear,clear sky,01d,84.0725,0.0,0.0,98933
13.87,0,25,7,Clear,clear sky,01d,81.865,0.0,0.0,98933
7.2,100,26,7,Clouds,overcast clouds,04d,77.5875,0.0,0.0,98933
7.9,1,19,7,Clear,clear sky,01d,64.785,0.0,0.0,98240
9.42,45,20,7,Clouds,scattered clouds,03d,59.8275,0.0,0.0,98240
10.42,80,21,7,Clouds,broken clouds,04d,58.1275,0.0,0.0,98240
7.63,38,22,7,Clouds,scattered clouds,03d,58.155,0.0,0.0,98240
5.59,1,23,7,Clear,clear sky,01d,59.987500000000004,0.0,0.0,98240
5.28,2,24,7,Clear,clear sky,01d,63.4475,0.0,0.0,98240
11.5,6,25,7,Clear,clear sky,01d,61.1925,0.0,0.0,98240
7.14,1,26,7,Clear,clear sky,01d,58.9175,0.0,0.0,98240
8.37,0,19,7,Clear,clear sky,01d,60.7425,0.0,0.0,98527
10.2,29,20,7,Clouds,scattered clouds,03d,58.38250000000001,0.0,0.0,98527
10.49,16,21,7,Clouds,few clouds,02d,58.03750000000001,0.0,2.0,98527
14.14,13,22,7,Clouds,few clouds,02d,57.705,0.0,0.0,98527
13.33,0,23,7,Clear,clear sky,01d,58.5,0.0,0.0,98527
13.47,23,24,7,Clouds,few clouds,02d,60.324999999999996,0.0,0.0,98527
13.91,44,25,7,Rain,light rain,10d,58.657500000000006,0.032,20.0,98527
11.88,8,26,7,Clear,clear sky,01d,57.582499999999996,0.0,0.0,98527
8.1,1,19,7,Clear,clear sky,01d,69.49,0.0,0.0,98042
5.75,37,20,7,Clouds,scattered clouds,03d,64.285,0.0,4.0,98042
7.43,41,21,7,Clouds,scattered clouds,03d,61.262499999999996,0.0,0.0,98042
9.53,3,22,7,Clear,clear sky,01d,61.919999999999995,0.0,0.0,98042
8.68,0,23,7,Clear,clear sky,01d,65.7775,0.0,0.0,98042
8.7,0,24,7,Clear,clear sky,01d,70.0275,0.0,0.0,98042
5.79,2,25,7,Clear,clear sky,01d,67.0125,0.0,0.0,98042
3.94,36,26,7,Clouds,scattered clouds,03d,65.055,0.0,0.0,98042
14.25,0,19,7,Clear,clear sky,01d,71.32499999999999,0.0,0.0,98619
13.13,0,20,7,Clear,clear sky,01d,66.99,0.0,0.0,98619
15.26,0,21,7,Clear,clear sky,01d,63.3575,0.0,0.0,98619
7.78,0,22,7,Clear,clear sky,01d,66.3925,0.0,0.0,98619
11.32,0,23,7,Clear,clear sky,01d,71.86,0.0,0.0,98619
10.38,0,24,7,Clear,clear sky,01d,76.52,0.0,0.0,98619
14.29,0,25,7,Clear,clear sky,01d,71.605,0.0,0.0,98619
14.52,98,26,7,Clouds,overcast clouds,04d,67.92500000000001,0.0,0.0,98619
7.61,0,19,7,Clear,clear sky,01d,68.38749999999999,0.0,0.0,98336
7.49,6,20,7,Clear,clear sky,01d,63.2875,0.0,0.0,98336
7.61,0,21,7,Clear,clear sky,01d,59.4875,0.0,0.0,98336
6.42,53,22,7,Clouds,broken clouds,04d,62.4375,0.0,0.0,98336
6.46,0,23,7,Clear,clear sky,01d,66.4525,0.0,0.0,98336
6.73,0,24,7,Clear,clear sky,01d,71.46,0.0,0.0,98336
7.36,0,25,7,Clear,clear sky,01d,66.78,0.0,0.0,98336
7.07,44,26,7,Clouds,scattered clouds,03d,63.072500000000005,0.0,0.0,98336
